document,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,0.06754348427057266,,0.10637865215539932,0.38264578580856323,,,,0.03625573217868805,,,,0.010939528234302998,,0.2939979135990143,0.08962702006101608
1,,,,0.05135837569832802,0.35366782546043396,,,,0.030860884115099907,,,,,,0.541252613067627,
2,,,,0.026847073808312416,0.7696544528007507,,,,,,,,,0.015462429262697697,0.14579030871391296,0.029634779319167137
3,,,,0.022258544340729713,0.7284107804298401,,,,0.056970953941345215,,,,,,0.15161480009555817,0.030526723712682724
4,,,,0.038708265870809555,0.34474387764930725,,,,0.34806057810783386,,,,0.025500575080513954,,0.20290619134902954,0.030241888016462326
5,,,,0.03941363841295242,0.3455637991428375,,,,0.08367680758237839,,,,0.08979226648807526,,0.41503164172172546,0.020047739148139954
6,,,,0.05112520605325699,0.6315195560455322,,,,0.011046113446354866,,,,0.018742172047495842,0.03180963173508644,0.20429913699626923,0.0359930545091629
7,,0.012920431792736053,,0.101205974817276,0.6869087219238281,,,,,,,,0.05630934238433838,,0.12427321076393127,
8,,,,0.03551099821925163,0.5871360301971436,,,0.019494198262691498,0.1284945160150528,,,,0.053001176565885544,,0.16802747547626495,
9,,,,0.058064915239810944,0.2607993185520172,,,,0.423557311296463,,,,0.011498775333166122,,0.23657943308353424,
10,,,,0.0392850823700428,0.32914894819259644,,,0.010279068723320961,,,,,,,0.6033236384391785,
11,,,,0.17501845955848694,0.3511669337749481,,,,,,,,0.02806534245610237,,0.3724222183227539,0.05318291112780571
12,,,,0.08983679115772247,0.27176862955093384,,,,0.012506385333836079,,,,0.47886964678764343,,0.1306677907705307,
13,,,,0.1078370213508606,0.4031858444213867,,,,,,,,0.038481976836919785,,0.3508354127407074,0.08528319746255875
14,,,,0.023579785600304604,0.7803436517715454,,,,0.11446420848369598,,,,,,0.05918290093541145,
15,0.08221977949142456,,,0.31026339530944824,0.4821891188621521,,,,,,,,,0.0204780213534832,0.08730696886777878,
16,,,,0.06420255452394485,0.25449278950691223,,,0.012148048728704453,0.028135091066360474,0.09545565396547318,,,0.16043560206890106,0.06602354347705841,0.29476216435432434,0.020812436938285828
17,0.18325871229171753,,,0.012501669116318226,0.6374204754829407,,,,,,,,0.015622898936271667,0.10080091655254364,0.04103138670325279,
18,,,,0.03044399805366993,0.4234587848186493,,,,0.03894369676709175,,,,0.025169698521494865,,0.4505455493927002,0.019249843433499336
19,,0.022624753415584564,,0.024674145504832268,0.3379276394844055,,,,,,,,0.09449876099824905,,0.5039972066879272,
20,,,,0.01824534498155117,0.8020323514938354,,0.045014191418886185,,,,,,,0.048926204442977905,0.04067382216453552,0.02636336348950863
21,,0.06818116456270218,,0.04138194024562836,0.6355188488960266,,,,,,,,0.06392186880111694,,0.16957417130470276,
22,,,,0.043489959090948105,0.7859552502632141,,,,,,,,,0.014945922419428825,0.0888202115893364,0.04469079524278641
23,0.05870351195335388,,,0.046570755541324615,0.6858259439468384,,,,,,,,0.024971511214971542,0.022127700969576836,0.14964620769023895,
24,,,,0.09058116376399994,0.40291377902030945,,,,,,,,0.19330964982509613,0.13751080632209778,0.15919649600982666,
25,,,,0.03579428419470787,0.8449269533157349,,,,,,,,,,0.0932692363858223,
26,,,,0.1830885261297226,0.6426094174385071,,,,0.012528830207884312,,,,0.10246388614177704,,0.040692925453186035,
