document,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,,0.5687705874443054,,,,0.06178196519613266,,0.3372992277145386,,,,,,,
1,,,0.33137157559394836,,,0.08801472932100296,,,,0.013377552852034569,,,0.3506230115890503,0.2078302651643753,,
2,,,0.047502871602773666,,0.6052648425102234,0.2530020773410797,,,,0.05919565260410309,,,,,,
3,0.06945224106311798,0.0640091672539711,0.021293101832270622,0.44696903228759766,0.08055350929498672,0.05986054614186287,,,,0.1990554928779602,,,,,,0.051501400768756866
4,,,0.014443858526647091,0.022160818800330162,,,,,,0.2602132260799408,,,0.042868539690971375,,0.6474342942237854,
5,,0.0831422433257103,0.701583743095398,,,0.04357972741127014,,,,0.0366118960082531,0.012029892764985561,,0.11367890983819962,,,
6,,,0.03640532121062279,,,,,,,0.03593621030449867,,,0.9095016121864319,,,
7,,,0.2511376440525055,,0.5870767831802368,,,,,0.06842019408941269,,,0.043088238686323166,,,0.03359682485461235
8,,,0.9598439931869507,,,,,0.01345500722527504,,,,,,,,
9,,0.056192100048065186,0.12778857350349426,,,,,,,0.49537017941474915,0.06390564888715744,,,0.24162718653678894,,
10,,,0.015087408013641834,,,,,,,0.15786245465278625,,,,0.8088074922561646,,
11,0.02956402860581875,0.04095172882080078,0.01982155628502369,0.013964993879199028,,,,,,0.32693156599998474,,,0.10498730838298798,,0.3707822561264038,0.07948010414838791
12,,,0.2372148633003235,,,0.7375309467315674,,,,0.010347135365009308,,,,,,
13,,0.029555320739746094,0.4343760907649994,,,,,,,0.21067363023757935,,,,,,0.3093492388725281
14,,,0.11288529634475708,,0.7887717485427856,0.07563038170337677,,,,,,,,,,
15,,,0.45839640498161316,,,,,,,0.050711240619421005,0.08427618443965912,,,0.39459386467933655,,
16,,0.03839213028550148,0.041212402284145355,,,,,,,0.022576481103897095,0.6841080784797668,,0.096330925822258,0.10680805891752243,,
17,0.07522173225879669,0.07044194638729095,0.02245861478149891,,0.03333720937371254,,,,,0.08129850775003433,,,,0.22195971012115479,,0.48259565234184265
18,0.06033750995993614,,0.9100437760353088,,,,,,,,,,,,,
19,,0.01847250945866108,0.08088354021310806,,,,,,,0.8889303803443909,,,,,,
20,,0.024626418948173523,0.0435020737349987,,,0.7808719277381897,,,,,,,0.1363932192325592,,,
21,,,0.03149053826928139,,,,,,,0.08885175734758377,,,,0.8189604878425598,,0.04056212306022644
22,,0.04233371838927269,0.11364560574293137,,0.020557595416903496,0.1380527913570404,,,,,,,0.13478435575962067,0.5365357995033264,,
23,,,0.7473410964012146,,,,,,,0.2300678938627243,,,,,,
24,,,0.38462111353874207,,,0.010045034810900688,,,,0.01647898741066456,,,,0.5571469068527222,,
25,0.821159839630127,,0.15304027497768402,,,,,,,0.011606693267822266,,,,,,
26,,,0.3956877589225769,,,0.022170105949044228,,,,0.15020997822284698,0.3517964780330658,,0.016866466030478477,0.015486019663512707,,
27,,,0.37353241443634033,,,0.08780115842819214,0.5168644785881042,,,,,,,,,
28,,0.2363472282886505,0.42160505056381226,,,0.06807515025138855,,,,0.23340611159801483,,,0.029422273859381676,,,
29,,,0.3533085882663727,,0.07004579901695251,,,,0.4778570234775543,,,,,,,0.06677582859992981
30,,,0.35513877868652344,,,0.053318124264478683,,,,0.041867416352033615,,,0.024026617407798767,0.5147184133529663,,
31,,0.041444357484579086,0.1483132392168045,,,0.13220176100730896,,,,0.1948467642068863,,,0.21771155297756195,,,0.23674660921096802
32,0.024984175339341164,0.4053945243358612,0.015155049972236156,,0.03347475826740265,0.14121738076210022,,,,0.11581935733556747,0.16995280981063843,,,,,0.08262813836336136
33,,,0.17752870917320251,,,0.11057290434837341,0.24421493709087372,,,0.3263411223888397,,,0.11668311059474945,,,
34,,,0.40630146861076355,0.3344723582267761,,0.058231011033058167,0.09993425756692886,,,0.028753604739904404,,,,,,0.05160389468073845
35,,,0.4374440014362335,,0.41836556792259216,0.10571751743555069,,,,0.012322510592639446,,,,,,
36,,,0.3236991763114929,0.525504469871521,,0.11085397005081177,,,,0.027992546558380127,,,,,,
37,,,0.41823363304138184,,,,0.2880544364452362,,,0.011594410054385662,,0.24709202349185944,,,,
38,,,0.2907981872558594,,0.5830296874046326,,,,,0.08524548262357712,,,,,,
39,,0.033230770379304886,0.8625638484954834,,,0.04953107237815857,,,0.015002892352640629,,0.0181259848177433,,,,,
40,,,0.2372281700372696,,,0.1319795846939087,0.013735330663621426,,,0.04415110871195793,,,0.180912047624588,0.3699813485145569,,0.01576109789311886
41,,,0.01842035911977291,,0.03724944591522217,0.04444725438952446,,,,0.22763419151306152,0.5099817514419556,,0.07131784409284592,0.04004700854420662,,0.04569955915212631
42,,,0.9182276129722595,,,,,,,0.045533109456300735,0.01456216350197792,,,,,
43,,,0.11473564803600311,,0.2661549746990204,0.18525128066539764,,,,0.20990680158138275,,0.04348401725292206,0.16807594895362854,,,
44,,,0.11546990275382996,,,0.016861293464899063,,,,0.764515221118927,,,0.06758392602205276,,,0.028935758396983147
45,0.11120924353599548,,0.04316825419664383,,0.14480477571487427,,,,,0.15942052006721497,,,,0.12624649703502655,,0.3998076617717743
46,,,0.04483044520020485,,,0.03559629246592522,,,,0.8185069561004639,0.016051974147558212,,,0.07438486814498901,,
47,,,0.023763570934534073,,0.030386582016944885,0.22997739911079407,,,,,,,0.6978663206100464,,,
48,,,0.12371872365474701,,,,,,,,0.05028305947780609,,0.8038636445999146,,,
49,,,,,0.8369907140731812,0.029426179826259613,,,,0.09974317252635956,,,,0.01689504273235798,,
50,,,0.9008564949035645,,,,,,,0.05429321900010109,,,,,,
51,,,0.2537529170513153,,,0.18526557087898254,,,,0.07607574015855789,,,0.46897903084754944,,,
52,,,0.8054354786872864,,,0.12546275556087494,,,,0.052975814789533615,,,,,,
53,,,0.189125657081604,,,,,,0.028246410191059113,0.04044380038976669,,,,0.7271485328674316,,
54,,0.6337391138076782,0.23019585013389587,,,,,,,0.1216084361076355,,,,,,
55,,0.037802763283252716,0.051481280475854874,0.7162081003189087,0.025979148223996162,,,,,,,,,0.09091448783874512,,0.04737202823162079
56,,,0.03282732143998146,,,0.022396450862288475,,,,0.2517969608306885,0.010088854469358921,,0.6766279935836792,,,
57,,,0.08039620518684387,,,,,,,0.7314581274986267,,,0.17353419959545135,,,
58,,,0.9106448888778687,,0.040561091154813766,,,,,,0.03288557752966881,,,,,
59,,0.08369401842355728,0.011638856492936611,,,,,,,0.34906458854675293,,,,0.16625526547431946,,0.37491661310195923
60,,,0.12814562022686005,,,0.7959760427474976,,,,0.011252721771597862,,,,0.04144582524895668,,
61,,,0.04830169305205345,,0.06682176142930984,,,,,0.7369478940963745,0.05456285551190376,,0.08448262512683868,,,
62,,,0.06242602691054344,,0.08764832466840744,,,,,0.1586238443851471,,,0.502199649810791,0.17850294709205627,,
63,0.04721354693174362,0.47052624821662903,0.2320355474948883,,,0.10484415292739868,,,,,0.06481000036001205,,0.0637139081954956,,,
64,,,0.06585615873336792,,0.18195317685604095,,,,,0.08809268474578857,,,0.6474915146827698,,,
65,,,0.011021388694643974,,0.05123580992221832,0.5479782819747925,,,,0.051535751670598984,0.15093204379081726,,,,,0.17909839749336243
66,0.1057383120059967,,0.2170209437608719,0.025252176448702812,0.07348175346851349,,0.2775554656982422,,,0.15676888823509216,,,0.09249917417764664,,,0.03973131254315376
67,,,0.7741583585739136,0.1414131224155426,,0.046717967838048935,,,,0.010772205889225006,,,,,,
68,,,0.15880462527275085,0.043700043112039566,,0.6681045889854431,0.05994010344147682,,,0.052269697189331055,,,,,,
69,,,0.09755073487758636,,,0.15417301654815674,,,,,0.5929421186447144,,0.1349622905254364,,,
70,,,0.8918209671974182,,,,,,,,,,0.0913902297616005,,,
71,,,0.03364281728863716,,,0.9001537561416626,,0.014186625368893147,,0.043907586485147476,,,,,,
72,,,0.3809671103954315,0.4883211851119995,,,,,,0.11270373314619064,,,,,,
73,,,0.27376747131347656,,0.05331479385495186,,0.5747644305229187,,,0.07745936512947083,,,,,,
74,,,0.4104626178741455,,,,,,0.40941643714904785,0.022153103724122047,0.11844736337661743,,,,,
75,0.1540706753730774,,0.011150848120450974,,,0.08468393981456757,,,,,0.587234616279602,0.012016759254038334,0.13510939478874207,,,
76,0.04096958786249161,,0.5370149612426758,,,0.03647259622812271,,,0.1516331285238266,0.11248789727687836,0.08549118041992188,,0.024874847382307053,,,
77,,,0.3553522825241089,,,0.08967236429452896,,,0.29114317893981934,0.10400073975324631,,,0.10882704704999924,,,0.038294970989227295
78,,0.04388156905770302,0.40461134910583496,,,,,,,0.09982441365718842,0.1275315135717392,,0.09089630097150803,,0.20046423375606537,0.026411984115839005
79,,,0.03188539296388626,,,0.02264300361275673,,,,0.2717890739440918,0.011036977171897888,,0.40440043807029724,,0.24698370695114136,
80,,,0.015699733048677444,0.5652438402175903,,,,,0.014387614093720913,0.09778720885515213,0.28785669803619385,,,,,
81,,,0.06376340240240097,,,0.17170752584934235,0.37101563811302185,,,0.38001373410224915,,,,,,
82,,,0.09553764760494232,,,0.12910766899585724,0.27264970541000366,,,0.49385181069374084,,,,,,
83,,,0.043669357895851135,,,0.11663868278265,,,,0.821354866027832,,,,,,
84,0.017660148441791534,0.04380784556269646,0.03561795502901077,,,,,0.3083435595035553,,0.20884063839912415,0.26535770297050476,,0.10633078962564468,,,
85,,,0.7742497324943542,,,,,,,0.14142566919326782,,,0.05266214534640312,,,
86,0.012359528802335262,,0.03362126648426056,,0.049864087253808975,,,,,0.04869161173701286,,,0.026510318741202354,0.822134792804718,,
87,,,0.038579825311899185,,0.12731699645519257,0.5103288888931274,,,,,,0.19065867364406586,0.11493378132581711,,,
88,,0.06250602751970291,0.16526274383068085,,0.5620572566986084,0.022624632343649864,,,,0.03525490686297417,,,,0.13974188268184662,,
89,0.018726341426372528,,0.08166705816984177,,,,,,,0.0711396336555481,0.0661919116973877,,,0.3521418869495392,,0.401286244392395
90,0.06761077046394348,,,,0.03882869333028793,0.09832126647233963,,,,0.03144840896129608,,,0.7331305146217346,,,0.014316665008664131
91,,,0.043148014694452286,,0.07841646671295166,0.1770573854446411,,,,0.216349259018898,0.017370013520121574,,0.11843904107809067,,,0.3363860845565796
92,,0.05031698942184448,0.170742005109787,,,0.10700555890798569,,,,0.02910756506025791,,0.4957311153411865,,0.13576528429985046,,
93,0.023095671087503433,0.023920362815260887,0.4931325912475586,,,,,,0.2927458584308624,,,,,0.059065837413072586,,0.07908467203378677
94,0.6730971932411194,,0.26525792479515076,,,,,,,,0.036419209092855453,,,,,
95,,,0.15385757386684418,,,0.13085469603538513,0.03577432408928871,,,0.01529335044324398,0.023157238960266113,,0.6344091892242432,,,
96,,,0.08796320855617523,,,0.08800113201141357,,,0.23978765308856964,0.2095773071050644,,0.0280634555965662,,0.332125186920166,,
97,,,0.14615148305892944,,,0.8124059438705444,,,,0.012816887348890305,,,,,,
98,,,0.0177001953125,,0.055727701634168625,,,,,0.38591742515563965,,,,0.5273752212524414,,
