,frequency,Topic,words
0,8,15,"['operational', 'market', 'trader']"
1,2,14,"['critical_transition', 'direction', 'finance']"
2,23,13,"['tipping_point', 'tipping', 'bifurcation']"
3,87,11,"['technology', 'community', 'plant']"
4,41,10,"['forest', 'carbon', 'fuel']"
5,26,8,"['planet', 'earth', 'planetary']"
6,277,7,"['climate', 'model', 'change']"
7,3,6,"['ozone', 'land', 'relative_humidity']"
8,236,5,"['climate', 'change', 'datum']"
9,166,4,"['energy', 'power', 'model']"
10,54,3,"['population', 'group', 'speed']"
11,30,2,"['extinction', 'stress', 'abundance']"
12,156,1,"['climate', 'change', 'rainfall']"
13,61,0,"['risk', 'rate', 'discount']"
