,frequency,Topic,words
0,3980,15,"['semantic', 'structure', 'linguistic']"
1,1012,14,"['code', 'chinese', 'character']"
2,327,13,"['bind', 'maintain', 'iterative']"
3,7609,12,"['method', 'approach', 'base']"
4,2238,11,"['problem', 'constraint', 'solution']"
5,1553,10,"['sentiment', 'candidate', 'deploy']"
6,7609,9,"['system', 'text', 'information']"
7,7609,8,"['transformer', 'network', 'attention']"
8,388,7,"['arabic', 'cluster', 'typical']"
9,1807,6,"['multilingual', 'english', 'reason']"
10,7609,5,"['model', 'language', 'task']"
11,1331,4,"['generic', 'item', 'meta']"
12,2863,3,"['prompt', 'question', 'adapt']"
13,7609,2,"['research', 'topic', 'processing']"
14,2480,1,"['word', 'embed', 'embedding']"
15,1532,0,"['knowledge', 'graph', 'entity']"
