,frequency,TopicA,TopicB,TopicA_words,TopicB_words
0,2,15,13,"['operational', 'market', 'trader']","['tipping_point', 'tipping', 'bifurcation']"
1,3,15,11,"['operational', 'market', 'trader']","['technology', 'community', 'plant']"
2,2,15,10,"['operational', 'market', 'trader']","['forest', 'carbon', 'fuel']"
3,2,15,8,"['operational', 'market', 'trader']","['planet', 'earth', 'planetary']"
4,8,15,7,"['operational', 'market', 'trader']","['climate', 'model', 'change']"
5,7,15,5,"['operational', 'market', 'trader']","['climate', 'change', 'datum']"
6,5,15,4,"['operational', 'market', 'trader']","['energy', 'power', 'model']"
7,1,15,3,"['operational', 'market', 'trader']","['population', 'group', 'speed']"
8,3,15,1,"['operational', 'market', 'trader']","['climate', 'change', 'rainfall']"
9,1,15,0,"['operational', 'market', 'trader']","['risk', 'rate', 'discount']"
10,1,14,13,"['critical_transition', 'direction', 'finance']","['tipping_point', 'tipping', 'bifurcation']"
11,2,14,11,"['critical_transition', 'direction', 'finance']","['technology', 'community', 'plant']"
12,1,14,10,"['critical_transition', 'direction', 'finance']","['forest', 'carbon', 'fuel']"
13,2,14,7,"['critical_transition', 'direction', 'finance']","['climate', 'model', 'change']"
14,2,14,5,"['critical_transition', 'direction', 'finance']","['climate', 'change', 'datum']"
15,2,14,4,"['critical_transition', 'direction', 'finance']","['energy', 'power', 'model']"
16,1,14,3,"['critical_transition', 'direction', 'finance']","['population', 'group', 'speed']"
17,2,14,1,"['critical_transition', 'direction', 'finance']","['climate', 'change', 'rainfall']"
18,2,13,15,"['tipping_point', 'tipping', 'bifurcation']","['operational', 'market', 'trader']"
19,1,13,14,"['tipping_point', 'tipping', 'bifurcation']","['critical_transition', 'direction', 'finance']"
20,7,13,11,"['tipping_point', 'tipping', 'bifurcation']","['technology', 'community', 'plant']"
21,4,13,10,"['tipping_point', 'tipping', 'bifurcation']","['forest', 'carbon', 'fuel']"
22,4,13,8,"['tipping_point', 'tipping', 'bifurcation']","['planet', 'earth', 'planetary']"
23,23,13,7,"['tipping_point', 'tipping', 'bifurcation']","['climate', 'model', 'change']"
24,22,13,5,"['tipping_point', 'tipping', 'bifurcation']","['climate', 'change', 'datum']"
25,14,13,4,"['tipping_point', 'tipping', 'bifurcation']","['energy', 'power', 'model']"
26,5,13,3,"['tipping_point', 'tipping', 'bifurcation']","['population', 'group', 'speed']"
27,2,13,2,"['tipping_point', 'tipping', 'bifurcation']","['extinction', 'stress', 'abundance']"
28,12,13,1,"['tipping_point', 'tipping', 'bifurcation']","['climate', 'change', 'rainfall']"
29,3,13,0,"['tipping_point', 'tipping', 'bifurcation']","['risk', 'rate', 'discount']"
30,3,11,15,"['technology', 'community', 'plant']","['operational', 'market', 'trader']"
31,2,11,14,"['technology', 'community', 'plant']","['critical_transition', 'direction', 'finance']"
32,7,11,13,"['technology', 'community', 'plant']","['tipping_point', 'tipping', 'bifurcation']"
33,16,11,10,"['technology', 'community', 'plant']","['forest', 'carbon', 'fuel']"
34,9,11,8,"['technology', 'community', 'plant']","['planet', 'earth', 'planetary']"
35,87,11,7,"['technology', 'community', 'plant']","['climate', 'model', 'change']"
36,79,11,5,"['technology', 'community', 'plant']","['climate', 'change', 'datum']"
37,61,11,4,"['technology', 'community', 'plant']","['energy', 'power', 'model']"
38,17,11,3,"['technology', 'community', 'plant']","['population', 'group', 'speed']"
39,13,11,2,"['technology', 'community', 'plant']","['extinction', 'stress', 'abundance']"
40,52,11,1,"['technology', 'community', 'plant']","['climate', 'change', 'rainfall']"
