,frequency,TopicA,TopicB,TopicA_words,TopicB_words
0,539,15,14,"['semantic', 'structure', 'linguistic']","['code', 'chinese', 'character']"
1,142,15,13,"['semantic', 'structure', 'linguistic']","['bind', 'maintain', 'iterative']"
2,3980,15,12,"['semantic', 'structure', 'linguistic']","['method', 'approach', 'base']"
3,1160,15,11,"['semantic', 'structure', 'linguistic']","['problem', 'constraint', 'solution']"
4,744,15,10,"['semantic', 'structure', 'linguistic']","['sentiment', 'candidate', 'deploy']"
5,3980,15,9,"['semantic', 'structure', 'linguistic']","['system', 'text', 'information']"
6,3980,15,8,"['semantic', 'structure', 'linguistic']","['transformer', 'network', 'attention']"
7,197,15,7,"['semantic', 'structure', 'linguistic']","['arabic', 'cluster', 'typical']"
8,997,15,6,"['semantic', 'structure', 'linguistic']","['multilingual', 'english', 'reason']"
9,3980,15,5,"['semantic', 'structure', 'linguistic']","['model', 'language', 'task']"
10,674,15,4,"['semantic', 'structure', 'linguistic']","['generic', 'item', 'meta']"
11,1549,15,3,"['semantic', 'structure', 'linguistic']","['prompt', 'question', 'adapt']"
12,3980,15,2,"['semantic', 'structure', 'linguistic']","['research', 'topic', 'processing']"
13,1372,15,1,"['semantic', 'structure', 'linguistic']","['word', 'embed', 'embedding']"
14,976,15,0,"['semantic', 'structure', 'linguistic']","['knowledge', 'graph', 'entity']"
15,539,14,15,"['code', 'chinese', 'character']","['semantic', 'structure', 'linguistic']"
16,38,14,13,"['code', 'chinese', 'character']","['bind', 'maintain', 'iterative']"
17,1012,14,12,"['code', 'chinese', 'character']","['method', 'approach', 'base']"
18,366,14,11,"['code', 'chinese', 'character']","['problem', 'constraint', 'solution']"
19,238,14,10,"['code', 'chinese', 'character']","['sentiment', 'candidate', 'deploy']"
20,1012,14,9,"['code', 'chinese', 'character']","['system', 'text', 'information']"
21,1012,14,8,"['code', 'chinese', 'character']","['transformer', 'network', 'attention']"
22,54,14,7,"['code', 'chinese', 'character']","['arabic', 'cluster', 'typical']"
23,241,14,6,"['code', 'chinese', 'character']","['multilingual', 'english', 'reason']"
24,1012,14,5,"['code', 'chinese', 'character']","['model', 'language', 'task']"
25,181,14,4,"['code', 'chinese', 'character']","['generic', 'item', 'meta']"
26,373,14,3,"['code', 'chinese', 'character']","['prompt', 'question', 'adapt']"
27,1012,14,2,"['code', 'chinese', 'character']","['research', 'topic', 'processing']"
28,305,14,1,"['code', 'chinese', 'character']","['word', 'embed', 'embedding']"
29,231,14,0,"['code', 'chinese', 'character']","['knowledge', 'graph', 'entity']"
30,142,13,15,"['bind', 'maintain', 'iterative']","['semantic', 'structure', 'linguistic']"
31,38,13,14,"['bind', 'maintain', 'iterative']","['code', 'chinese', 'character']"
32,327,13,12,"['bind', 'maintain', 'iterative']","['method', 'approach', 'base']"
33,119,13,11,"['bind', 'maintain', 'iterative']","['problem', 'constraint', 'solution']"
34,75,13,10,"['bind', 'maintain', 'iterative']","['sentiment', 'candidate', 'deploy']"
35,327,13,9,"['bind', 'maintain', 'iterative']","['system', 'text', 'information']"
36,327,13,8,"['bind', 'maintain', 'iterative']","['transformer', 'network', 'attention']"
37,14,13,7,"['bind', 'maintain', 'iterative']","['arabic', 'cluster', 'typical']"
38,70,13,6,"['bind', 'maintain', 'iterative']","['multilingual', 'english', 'reason']"
39,327,13,5,"['bind', 'maintain', 'iterative']","['model', 'language', 'task']"
40,52,13,4,"['bind', 'maintain', 'iterative']","['generic', 'item', 'meta']"
41,98,13,3,"['bind', 'maintain', 'iterative']","['prompt', 'question', 'adapt']"
42,327,13,2,"['bind', 'maintain', 'iterative']","['research', 'topic', 'processing']"
43,91,13,1,"['bind', 'maintain', 'iterative']","['word', 'embed', 'embedding']"
44,52,13,0,"['bind', 'maintain', 'iterative']","['knowledge', 'graph', 'entity']"
45,3980,12,15,"['method', 'approach', 'base']","['semantic', 'structure', 'linguistic']"
46,1012,12,14,"['method', 'approach', 'base']","['code', 'chinese', 'character']"
47,327,12,13,"['method', 'approach', 'base']","['bind', 'maintain', 'iterative']"
48,2238,12,11,"['method', 'approach', 'base']","['problem', 'constraint', 'solution']"
49,1553,12,10,"['method', 'approach', 'base']","['sentiment', 'candidate', 'deploy']"
50,7609,12,9,"['method', 'approach', 'base']","['system', 'text', 'information']"
51,7609,12,8,"['method', 'approach', 'base']","['transformer', 'network', 'attention']"
52,388,12,7,"['method', 'approach', 'base']","['arabic', 'cluster', 'typical']"
53,1807,12,6,"['method', 'approach', 'base']","['multilingual', 'english', 'reason']"
54,7609,12,5,"['method', 'approach', 'base']","['model', 'language', 'task']"
55,1331,12,4,"['method', 'approach', 'base']","['generic', 'item', 'meta']"
56,2863,12,3,"['method', 'approach', 'base']","['prompt', 'question', 'adapt']"
57,7609,12,2,"['method', 'approach', 'base']","['research', 'topic', 'processing']"
58,2480,12,1,"['method', 'approach', 'base']","['word', 'embed', 'embedding']"
59,1532,12,0,"['method', 'approach', 'base']","['knowledge', 'graph', 'entity']"
60,1160,11,15,"['problem', 'constraint', 'solution']","['semantic', 'structure', 'linguistic']"
61,366,11,14,"['problem', 'constraint', 'solution']","['code', 'chinese', 'character']"
62,119,11,13,"['problem', 'constraint', 'solution']","['bind', 'maintain', 'iterative']"
63,2238,11,12,"['problem', 'constraint', 'solution']","['method', 'approach', 'base']"
64,591,11,10,"['problem', 'constraint', 'solution']","['sentiment', 'candidate', 'deploy']"
65,2238,11,9,"['problem', 'constraint', 'solution']","['system', 'text', 'information']"
66,2238,11,8,"['problem', 'constraint', 'solution']","['transformer', 'network', 'attention']"
67,111,11,7,"['problem', 'constraint', 'solution']","['arabic', 'cluster', 'typical']"
68,465,11,6,"['problem', 'constraint', 'solution']","['multilingual', 'english', 'reason']"
69,2238,11,5,"['problem', 'constraint', 'solution']","['model', 'language', 'task']"
70,378,11,4,"['problem', 'constraint', 'solution']","['generic', 'item', 'meta']"
71,778,11,3,"['problem', 'constraint', 'solution']","['prompt', 'question', 'adapt']"
72,2238,11,2,"['problem', 'constraint', 'solution']","['research', 'topic', 'processing']"
73,595,11,1,"['problem', 'constraint', 'solution']","['word', 'embed', 'embedding']"
74,420,11,0,"['problem', 'constraint', 'solution']","['knowledge', 'graph', 'entity']"
75,744,10,15,"['sentiment', 'candidate', 'deploy']","['semantic', 'structure', 'linguistic']"
76,238,10,14,"['sentiment', 'candidate', 'deploy']","['code', 'chinese', 'character']"
77,75,10,13,"['sentiment', 'candidate', 'deploy']","['bind', 'maintain', 'iterative']"
78,1553,10,12,"['sentiment', 'candidate', 'deploy']","['method', 'approach', 'base']"
79,591,10,11,"['sentiment', 'candidate', 'deploy']","['problem', 'constraint', 'solution']"
80,1553,10,9,"['sentiment', 'candidate', 'deploy']","['system', 'text', 'information']"
81,1553,10,8,"['sentiment', 'candidate', 'deploy']","['transformer', 'network', 'attention']"
82,81,10,7,"['sentiment', 'candidate', 'deploy']","['arabic', 'cluster', 'typical']"
83,368,10,6,"['sentiment', 'candidate', 'deploy']","['multilingual', 'english', 'reason']"
84,1553,10,5,"['sentiment', 'candidate', 'deploy']","['model', 'language', 'task']"
85,297,10,4,"['sentiment', 'candidate', 'deploy']","['generic', 'item', 'meta']"
86,554,10,3,"['sentiment', 'candidate', 'deploy']","['prompt', 'question', 'adapt']"
87,1553,10,2,"['sentiment', 'candidate', 'deploy']","['research', 'topic', 'processing']"
88,458,10,1,"['sentiment', 'candidate', 'deploy']","['word', 'embed', 'embedding']"
89,280,10,0,"['sentiment', 'candidate', 'deploy']","['knowledge', 'graph', 'entity']"
90,3980,9,15,"['system', 'text', 'information']","['semantic', 'structure', 'linguistic']"
91,1012,9,14,"['system', 'text', 'information']","['code', 'chinese', 'character']"
92,327,9,13,"['system', 'text', 'information']","['bind', 'maintain', 'iterative']"
93,7609,9,12,"['system', 'text', 'information']","['method', 'approach', 'base']"
94,2238,9,11,"['system', 'text', 'information']","['problem', 'constraint', 'solution']"
95,1553,9,10,"['system', 'text', 'information']","['sentiment', 'candidate', 'deploy']"
96,7609,9,8,"['system', 'text', 'information']","['transformer', 'network', 'attention']"
97,388,9,7,"['system', 'text', 'information']","['arabic', 'cluster', 'typical']"
98,1807,9,6,"['system', 'text', 'information']","['multilingual', 'english', 'reason']"
99,7609,9,5,"['system', 'text', 'information']","['model', 'language', 'task']"
100,1331,9,4,"['system', 'text', 'information']","['generic', 'item', 'meta']"
101,2863,9,3,"['system', 'text', 'information']","['prompt', 'question', 'adapt']"
102,7609,9,2,"['system', 'text', 'information']","['research', 'topic', 'processing']"
103,2480,9,1,"['system', 'text', 'information']","['word', 'embed', 'embedding']"
104,1532,9,0,"['system', 'text', 'information']","['knowledge', 'graph', 'entity']"
105,3980,8,15,"['transformer', 'network', 'attention']","['semantic', 'structure', 'linguistic']"
106,1012,8,14,"['transformer', 'network', 'attention']","['code', 'chinese', 'character']"
107,327,8,13,"['transformer', 'network', 'attention']","['bind', 'maintain', 'iterative']"
108,7609,8,12,"['transformer', 'network', 'attention']","['method', 'approach', 'base']"
109,2238,8,11,"['transformer', 'network', 'attention']","['problem', 'constraint', 'solution']"
110,1553,8,10,"['transformer', 'network', 'attention']","['sentiment', 'candidate', 'deploy']"
111,7609,8,9,"['transformer', 'network', 'attention']","['system', 'text', 'information']"
112,388,8,7,"['transformer', 'network', 'attention']","['arabic', 'cluster', 'typical']"
113,1807,8,6,"['transformer', 'network', 'attention']","['multilingual', 'english', 'reason']"
114,7609,8,5,"['transformer', 'network', 'attention']","['model', 'language', 'task']"
115,1331,8,4,"['transformer', 'network', 'attention']","['generic', 'item', 'meta']"
116,2863,8,3,"['transformer', 'network', 'attention']","['prompt', 'question', 'adapt']"
117,7609,8,2,"['transformer', 'network', 'attention']","['research', 'topic', 'processing']"
118,2480,8,1,"['transformer', 'network', 'attention']","['word', 'embed', 'embedding']"
119,1532,8,0,"['transformer', 'network', 'attention']","['knowledge', 'graph', 'entity']"
120,197,7,15,"['arabic', 'cluster', 'typical']","['semantic', 'structure', 'linguistic']"
121,54,7,14,"['arabic', 'cluster', 'typical']","['code', 'chinese', 'character']"
122,14,7,13,"['arabic', 'cluster', 'typical']","['bind', 'maintain', 'iterative']"
123,388,7,12,"['arabic', 'cluster', 'typical']","['method', 'approach', 'base']"
124,111,7,11,"['arabic', 'cluster', 'typical']","['problem', 'constraint', 'solution']"
125,81,7,10,"['arabic', 'cluster', 'typical']","['sentiment', 'candidate', 'deploy']"
126,388,7,9,"['arabic', 'cluster', 'typical']","['system', 'text', 'information']"
127,388,7,8,"['arabic', 'cluster', 'typical']","['transformer', 'network', 'attention']"
128,95,7,6,"['arabic', 'cluster', 'typical']","['multilingual', 'english', 'reason']"
129,388,7,5,"['arabic', 'cluster', 'typical']","['model', 'language', 'task']"
130,78,7,4,"['arabic', 'cluster', 'typical']","['generic', 'item', 'meta']"
131,136,7,3,"['arabic', 'cluster', 'typical']","['prompt', 'question', 'adapt']"
132,388,7,2,"['arabic', 'cluster', 'typical']","['research', 'topic', 'processing']"
133,128,7,1,"['arabic', 'cluster', 'typical']","['word', 'embed', 'embedding']"
134,67,7,0,"['arabic', 'cluster', 'typical']","['knowledge', 'graph', 'entity']"
135,997,6,15,"['multilingual', 'english', 'reason']","['semantic', 'structure', 'linguistic']"
136,241,6,14,"['multilingual', 'english', 'reason']","['code', 'chinese', 'character']"
137,70,6,13,"['multilingual', 'english', 'reason']","['bind', 'maintain', 'iterative']"
138,1807,6,12,"['multilingual', 'english', 'reason']","['method', 'approach', 'base']"
139,465,6,11,"['multilingual', 'english', 'reason']","['problem', 'constraint', 'solution']"
140,368,6,10,"['multilingual', 'english', 'reason']","['sentiment', 'candidate', 'deploy']"
141,1807,6,9,"['multilingual', 'english', 'reason']","['system', 'text', 'information']"
142,1807,6,8,"['multilingual', 'english', 'reason']","['transformer', 'network', 'attention']"
143,95,6,7,"['multilingual', 'english', 'reason']","['arabic', 'cluster', 'typical']"
144,1807,6,5,"['multilingual', 'english', 'reason']","['model', 'language', 'task']"
145,318,6,4,"['multilingual', 'english', 'reason']","['generic', 'item', 'meta']"
146,781,6,3,"['multilingual', 'english', 'reason']","['prompt', 'question', 'adapt']"
147,1807,6,2,"['multilingual', 'english', 'reason']","['research', 'topic', 'processing']"
148,609,6,1,"['multilingual', 'english', 'reason']","['word', 'embed', 'embedding']"
149,394,6,0,"['multilingual', 'english', 'reason']","['knowledge', 'graph', 'entity']"
150,3980,5,15,"['model', 'language', 'task']","['semantic', 'structure', 'linguistic']"
151,1012,5,14,"['model', 'language', 'task']","['code', 'chinese', 'character']"
152,327,5,13,"['model', 'language', 'task']","['bind', 'maintain', 'iterative']"
153,7609,5,12,"['model', 'language', 'task']","['method', 'approach', 'base']"
154,2238,5,11,"['model', 'language', 'task']","['problem', 'constraint', 'solution']"
155,1553,5,10,"['model', 'language', 'task']","['sentiment', 'candidate', 'deploy']"
156,7609,5,9,"['model', 'language', 'task']","['system', 'text', 'information']"
157,7609,5,8,"['model', 'language', 'task']","['transformer', 'network', 'attention']"
158,388,5,7,"['model', 'language', 'task']","['arabic', 'cluster', 'typical']"
159,1807,5,6,"['model', 'language', 'task']","['multilingual', 'english', 'reason']"
160,1331,5,4,"['model', 'language', 'task']","['generic', 'item', 'meta']"
161,2863,5,3,"['model', 'language', 'task']","['prompt', 'question', 'adapt']"
162,7609,5,2,"['model', 'language', 'task']","['research', 'topic', 'processing']"
163,2480,5,1,"['model', 'language', 'task']","['word', 'embed', 'embedding']"
164,1532,5,0,"['model', 'language', 'task']","['knowledge', 'graph', 'entity']"
165,674,4,15,"['generic', 'item', 'meta']","['semantic', 'structure', 'linguistic']"
166,181,4,14,"['generic', 'item', 'meta']","['code', 'chinese', 'character']"
167,52,4,13,"['generic', 'item', 'meta']","['bind', 'maintain', 'iterative']"
168,1331,4,12,"['generic', 'item', 'meta']","['method', 'approach', 'base']"
169,378,4,11,"['generic', 'item', 'meta']","['problem', 'constraint', 'solution']"
170,297,4,10,"['generic', 'item', 'meta']","['sentiment', 'candidate', 'deploy']"
171,1331,4,9,"['generic', 'item', 'meta']","['system', 'text', 'information']"
172,1331,4,8,"['generic', 'item', 'meta']","['transformer', 'network', 'attention']"
173,78,4,7,"['generic', 'item', 'meta']","['arabic', 'cluster', 'typical']"
174,318,4,6,"['generic', 'item', 'meta']","['multilingual', 'english', 'reason']"
175,1331,4,5,"['generic', 'item', 'meta']","['model', 'language', 'task']"
176,499,4,3,"['generic', 'item', 'meta']","['prompt', 'question', 'adapt']"
177,1331,4,2,"['generic', 'item', 'meta']","['research', 'topic', 'processing']"
178,437,4,1,"['generic', 'item', 'meta']","['word', 'embed', 'embedding']"
179,282,4,0,"['generic', 'item', 'meta']","['knowledge', 'graph', 'entity']"
180,1549,3,15,"['prompt', 'question', 'adapt']","['semantic', 'structure', 'linguistic']"
181,373,3,14,"['prompt', 'question', 'adapt']","['code', 'chinese', 'character']"
182,98,3,13,"['prompt', 'question', 'adapt']","['bind', 'maintain', 'iterative']"
183,2863,3,12,"['prompt', 'question', 'adapt']","['method', 'approach', 'base']"
184,778,3,11,"['prompt', 'question', 'adapt']","['problem', 'constraint', 'solution']"
185,554,3,10,"['prompt', 'question', 'adapt']","['sentiment', 'candidate', 'deploy']"
186,2863,3,9,"['prompt', 'question', 'adapt']","['system', 'text', 'information']"
187,2863,3,8,"['prompt', 'question', 'adapt']","['transformer', 'network', 'attention']"
188,136,3,7,"['prompt', 'question', 'adapt']","['arabic', 'cluster', 'typical']"
189,781,3,6,"['prompt', 'question', 'adapt']","['multilingual', 'english', 'reason']"
190,2863,3,5,"['prompt', 'question', 'adapt']","['model', 'language', 'task']"
191,499,3,4,"['prompt', 'question', 'adapt']","['generic', 'item', 'meta']"
192,2863,3,2,"['prompt', 'question', 'adapt']","['research', 'topic', 'processing']"
193,887,3,1,"['prompt', 'question', 'adapt']","['word', 'embed', 'embedding']"
194,545,3,0,"['prompt', 'question', 'adapt']","['knowledge', 'graph', 'entity']"
195,3980,2,15,"['research', 'topic', 'processing']","['semantic', 'structure', 'linguistic']"
196,1012,2,14,"['research', 'topic', 'processing']","['code', 'chinese', 'character']"
197,327,2,13,"['research', 'topic', 'processing']","['bind', 'maintain', 'iterative']"
198,7609,2,12,"['research', 'topic', 'processing']","['method', 'approach', 'base']"
199,2238,2,11,"['research', 'topic', 'processing']","['problem', 'constraint', 'solution']"
200,1553,2,10,"['research', 'topic', 'processing']","['sentiment', 'candidate', 'deploy']"
201,7609,2,9,"['research', 'topic', 'processing']","['system', 'text', 'information']"
202,7609,2,8,"['research', 'topic', 'processing']","['transformer', 'network', 'attention']"
203,388,2,7,"['research', 'topic', 'processing']","['arabic', 'cluster', 'typical']"
204,1807,2,6,"['research', 'topic', 'processing']","['multilingual', 'english', 'reason']"
205,7609,2,5,"['research', 'topic', 'processing']","['model', 'language', 'task']"
206,1331,2,4,"['research', 'topic', 'processing']","['generic', 'item', 'meta']"
207,2863,2,3,"['research', 'topic', 'processing']","['prompt', 'question', 'adapt']"
208,2480,2,1,"['research', 'topic', 'processing']","['word', 'embed', 'embedding']"
209,1532,2,0,"['research', 'topic', 'processing']","['knowledge', 'graph', 'entity']"
210,1372,1,15,"['word', 'embed', 'embedding']","['semantic', 'structure', 'linguistic']"
211,305,1,14,"['word', 'embed', 'embedding']","['code', 'chinese', 'character']"
212,91,1,13,"['word', 'embed', 'embedding']","['bind', 'maintain', 'iterative']"
213,2480,1,12,"['word', 'embed', 'embedding']","['method', 'approach', 'base']"
214,595,1,11,"['word', 'embed', 'embedding']","['problem', 'constraint', 'solution']"
215,458,1,10,"['word', 'embed', 'embedding']","['sentiment', 'candidate', 'deploy']"
216,2480,1,9,"['word', 'embed', 'embedding']","['system', 'text', 'information']"
217,2480,1,8,"['word', 'embed', 'embedding']","['transformer', 'network', 'attention']"
218,128,1,7,"['word', 'embed', 'embedding']","['arabic', 'cluster', 'typical']"
219,609,1,6,"['word', 'embed', 'embedding']","['multilingual', 'english', 'reason']"
220,2480,1,5,"['word', 'embed', 'embedding']","['model', 'language', 'task']"
221,437,1,4,"['word', 'embed', 'embedding']","['generic', 'item', 'meta']"
222,887,1,3,"['word', 'embed', 'embedding']","['prompt', 'question', 'adapt']"
223,2480,1,2,"['word', 'embed', 'embedding']","['research', 'topic', 'processing']"
224,538,1,0,"['word', 'embed', 'embedding']","['knowledge', 'graph', 'entity']"
225,976,0,15,"['knowledge', 'graph', 'entity']","['semantic', 'structure', 'linguistic']"
226,231,0,14,"['knowledge', 'graph', 'entity']","['code', 'chinese', 'character']"
227,52,0,13,"['knowledge', 'graph', 'entity']","['bind', 'maintain', 'iterative']"
228,1532,0,12,"['knowledge', 'graph', 'entity']","['method', 'approach', 'base']"
229,420,0,11,"['knowledge', 'graph', 'entity']","['problem', 'constraint', 'solution']"
230,280,0,10,"['knowledge', 'graph', 'entity']","['sentiment', 'candidate', 'deploy']"
231,1532,0,9,"['knowledge', 'graph', 'entity']","['system', 'text', 'information']"
232,1532,0,8,"['knowledge', 'graph', 'entity']","['transformer', 'network', 'attention']"
233,67,0,7,"['knowledge', 'graph', 'entity']","['arabic', 'cluster', 'typical']"
234,394,0,6,"['knowledge', 'graph', 'entity']","['multilingual', 'english', 'reason']"
